Number of Feature Pairs:
211
Number of initial indices:
210
Feature Pairs Results:
122 495 0.15481
138 373 0.173727
139 347 0.228598
160 122 0.0411992
166 150 0.0492549
169 272 0.19807
197 585 0.0943614
212 73 0.145216
220 360 0.028408
233 347 0.0920072
239 121 0.130492
250 36 0.147399
256 513 0.273962
257 418 0.231961
258 376 0.129045
260 52 0.117338
264 378 0.150617
265 150 0.020066
276 396 0.11477
278 139 0.0703404
280 85 0.15209
283 73 0.110526
288 100 0.0272331
295 80 0.121343
297 81 0.0636957
302 94 0.0370839
303 426 0.0816265
304 91 0.0935366
311 187 0.220422
314 95 0.101831
325 211 0.0357556
330 110 0.106428
335 119 0.0913029
366 97 0.0922419
385 149 0.224045
432 1234 0.354219
456 18 0.21903
495 358 0.180265
503 120 0.183121
506 478 0.169396
508 816 0.122044
525 371 0.13669
526 344 0.222409
529 361 0.0298981
538 610 0.0166443
542 613 0.0411458
545 361 0.0170051
547 68 0.0947729
548 630 0.230095
552 622 0.114948
553 621 0.163265
557 368 0.104175
560 624 0.0240385
562 478 0.0856392
563 973 0.267013
568 414 0.134197
570 379 0.117345
571 384 0.117847
573 387 0.100588
577 155 0.126819
579 387 0.0366421
581 392 0.0916598
585 387 0.153134
595 401 0.243707
596 386 0.0376245
600 412 0.0919525
601 416 0.157635
602 417 0.206942
605 93 0.162805
618 68 0.0748175
620 432 0.0534274
621 431 0.0758177
627 432 0.0842559
629 435 0.100068
633 120 0.085519
634 437 0.079618
636 121 0.185919
637 444 0.0263513
649 144 0.135681
650 426 0.116826
656 155 0.133145
711 848 0.148784
772 514 0.0905056
791 801 0.18224
796 619 0.132977
799 618 0.0808673
807 812 0.184807
808 813 0.0775451
809 618 0.0910507
813 817 0.0881465
814 533 0.199505
817 627 0.12005
819 633 0.103087
828 357 0.179387
829 828 0.146879
831 642 0.0576813
832 410 0.083973
834 418 0.0821595
843 649 0.0576567
844 651 0.0531315
848 642 0.049127
850 649 0.230892
859 656 0.0603827
861 659 0.0393702
862 660 0.0328381
865 663 0.0670752
866 667 0.0869891
867 664 0.226449
874 442 0.0453099
875 670 0.0901171
879 451 0.0287812
880 675 0.064132
882 147 0.242954
883 506 0.0426665
889 683 0.36964
-1 -1 3.40282e+38
922 255 0.157278
965 1055 0.147924
968 135 0.296475
977 1058 0.203133
997 856 0.103872
998 940 0.039862
999 1052 0.12593
1001 944 0.160055
1003 816 0.082216
1004 945 0.0277171
1006 816 0.11269
1009 947 0.15586
1012 816 0.0751138
1014 823 0.0474781
1015 951 0.215853
1022 837 0.104668
1025 838 0.015376
1026 840 0.108737
1028 642 0.065868
1029 844 0.0235352
1030 248 0.200629
1033 845 0.0398149
1035 659 0.0406321
1036 658 0.131957
1038 850 0.219926
1039 848 0.0301009
1042 663 0.130703
1044 852 0.148261
1049 672 0.0523445
1050 670 0.197135
1055 863 0.194118
1056 486 0.240234
1073 928 0.261643
1112 1059 0.162369
1130 1068 0.045324
1141 973 0.0616296
1144 808 0.110412
1147 1050 0.033491
1152 946 0.117707
1154 949 0.109653
1155 948 0.152659
1156 1060 0.244848
1160 950 0.165705
1161 955 0.147372
1164 834 0.0464556
1173 964 0.0815894
1177 846 0.129993
1179 849 0.0334296
1180 973 0.104507
1181 972 0.0686997
1182 853 0.0115305
1183 854 0.0745594
1184 855 0.0905522
1196 901 0.275225
1231 1074 0.148655
1235 1082 0.0411769
1238 1078 0.254065
1242 1148 0.165103
1243 1150 0.093198
1244 983 0.0420928
1245 1056 0.131366
1247 1154 0.0882435
1250 1058 0.0658833
1253 1156 0.072176
1258 1076 0.165551
1260 1064 0.0546137
1269 1073 0.0212053
1274 997 0.0397737
1276 1078 0.0931524
1288 962 0.0874192
1298 454 0.139118
1317 1171 0.211665
1322 1208 0.19307
1323 1210 0.167745
1325 1152 0.142516
1327 1056 0.363459
1332 1213 0.151536
1334 1160 0.127102
1341 1165 0.0818232
1343 1166 0.171062
1345 1170 0.0760684
1347 1171 0.18996
1351 1082 0.0654284
1352 1080 0.168203
1353 1084 0.110685
1354 1083 0.104501
1359 606 0.129966
1381 920 0.121061
1386 1209 0.0994224
1388 1248 0.0987352
1394 1176 0.0761186
1395 1175 0.115026
1409 1246 0.113758
1414 1251 0.131297
1424 1281 0.241346

Initial Indices:
122 495
138 373
139 347
160 122
166 150
169 272
197 585
212 73
220 360
233 347
239 121
250 36
256 513
257 418
258 376
260 52
264 378
265 150
276 396
278 139
280 85
283 73
288 100
295 80
297 81
302 94
303 426
304 91
311 187
314 95
325 211
330 110
335 119
366 97
385 149
432 1234
456 18
495 358
503 120
506 478
508 816
525 371
526 344
529 361
538 610
542 613
545 361
547 68
548 630
552 622
553 621
557 368
560 624
562 478
563 973
568 414
570 379
571 384
573 387
577 155
579 387
581 392
585 387
595 401
596 386
600 412
601 416
602 417
605 93
618 68
620 432
621 431
627 432
629 435
633 120
634 437
636 121
637 444
649 144
650 426
656 155
711 848
772 514
791 801
796 619
799 618
807 812
808 813
809 618
813 817
814 533
817 627
819 633
828 357
829 828
831 642
832 410
834 418
843 649
844 651
848 642
850 649
859 656
861 659
862 660
865 663
866 667
867 664
874 442
875 670
879 451
880 675
882 147
883 506
889 683
922 255
965 1055
968 135
977 1058
997 856
998 940
999 1052
1001 944
1003 816
1004 945
1006 816
1009 947
1012 816
1014 823
1015 951
1022 837
1025 838
1026 840
1028 642
1029 844
1030 248
1033 845
1035 659
1036 658
1038 850
1039 848
1042 663
1044 852
1049 672
1050 670
1055 863
1056 486
1073 928
1112 1059
1130 1068
1141 973
1144 808
1147 1050
